year,month,date_of_month,day_of_week,births,date
2000,6,16,5,12727,6/16/2000
2000,6,17,6,9143,6/17/2000
2000,6,18,7,8162,6/18/2000
2000,6,19,1,11649,6/19/2000
2000,6,20,2,13017,6/20/2000
2000,6,21,3,12729,6/21/2000
2000,6,22,4,12809,6/22/2000
2000,6,23,5,12603,6/23/2000
2000,6,24,6,9094,6/24/2000
2000,6,25,7,8178,6/25/2000
2000,6,26,1,12164,6/26/2000
2000,6,27,2,13354,6/27/2000
2000,6,28,3,13033,6/28/2000
2000,6,29,4,13462,6/29/2000
2000,6,30,5,13225,6/30/2000
2000,7,1,6,9376,7/1/2000
2000,7,2,7,8100,7/2/2000
2000,7,3,1,11345,7/3/2000
2000,7,4,2,9550,7/4/2000
2000,7,5,3,12346,7/5/2000
2000,7,6,4,13853,7/6/2000
2000,7,7,5,13658,7/7/2000
2000,7,8,6,9631,7/8/2000
2000,7,9,7,8586,7/9/2000
2000,7,10,1,12420,7/10/2000
2000,7,11,2,13584,7/11/2000
2000,7,12,3,12827,7/12/2000
2000,7,13,4,12980,7/13/2000
2000,7,14,5,13230,7/14/2000
2000,7,15,6,9627,7/15/2000
2000,7,16,7,8423,7/16/2000
2000,7,17,1,12053,7/17/2000
2000,7,18,2,13663,7/18/2000
2000,7,19,3,13001,7/19/2000
2000,7,20,4,13173,7/20/2000
2000,7,21,5,13027,7/21/2000
2000,7,22,6,9463,7/22/2000
2000,7,23,7,8166,7/23/2000
2000,7,24,1,12128,7/24/2000
2000,7,25,2,13176,7/25/2000
2000,7,26,3,12931,7/26/2000
2000,7,27,4,13155,7/27/2000
2000,7,28,5,12890,7/28/2000
2000,7,29,6,9465,7/29/2000
2000,7,30,7,8444,7/30/2000
2000,7,31,1,11860,7/31/2000
2000,8,1,2,13356,8/1/2000
2000,8,2,3,12835,8/2/2000
2000,8,3,4,13092,8/3/2000
2000,8,4,5,12940,8/4/2000
2000,8,5,6,9398,8/5/2000
2000,8,6,7,8350,8/6/2000
2000,8,7,1,11864,8/7/2000
2000,8,8,2,13693,8/8/2000
2000,8,9,3,13170,8/9/2000
2000,8,10,4,12953,8/10/2000
2000,8,11,5,12729,8/11/2000
2000,8,12,6,9305,8/12/2000
2000,8,13,7,8313,8/13/2000
2000,8,14,1,11927,8/14/2000
2000,8,15,2,13374,8/15/2000
2000,8,16,3,13174,8/16/2000
2000,8,17,4,13099,8/17/2000
2000,8,18,5,13124,8/18/2000
2000,8,19,6,9276,8/19/2000
2000,8,20,7,8346,8/20/2000
2000,8,21,1,12003,8/21/2000
2000,8,22,2,13406,8/22/2000
2000,8,23,3,12929,8/23/2000
2000,8,24,4,13021,8/24/2000
2000,8,25,5,12926,8/25/2000
2000,8,26,6,9341,8/26/2000
2000,8,27,7,8240,8/27/2000
2000,8,28,1,12074,8/28/2000
2000,8,29,2,13237,8/29/2000
2000,8,30,3,13111,8/30/2000
2000,8,31,4,13287,8/31/2000
2000,9,1,5,13145,9/1/2000
2000,9,2,6,9265,9/2/2000
2000,9,3,7,8248,9/3/2000
2000,9,4,1,8603,9/4/2000
2000,9,5,2,12200,9/5/2000
2000,9,6,3,13917,9/6/2000
2000,9,7,4,13512,9/7/2000
2000,9,8,5,13487,9/8/2000
2000,9,9,6,9860,9/9/2000
2000,9,10,7,8552,9/10/2000
2000,9,11,1,12405,9/11/2000
2000,9,12,2,13649,9/12/2000
2000,9,13,3,13299,9/13/2000
2000,9,14,4,13739,9/14/2000
2000,9,15,5,13552,9/15/2000
2000,9,16,6,9780,9/16/2000
2000,9,17,7,8683,9/17/2000
2000,9,18,1,12554,9/18/2000
2000,9,19,2,13850,9/19/2000
2000,9,20,3,13775,9/20/2000
2000,9,21,4,13350,9/21/2000
2000,9,22,5,13189,9/22/2000
2000,9,23,6,9494,9/23/2000
2000,9,24,7,8539,9/24/2000
2000,9,25,1,12432,9/25/2000
2000,9,26,2,13540,9/26/2000
2000,9,27,3,13467,9/27/2000
2000,9,28,4,13515,9/28/2000
2000,9,29,5,13045,9/29/2000
2000,9,30,6,9335,9/30/2000
2000,10,1,7,8453,10/1/2000
2000,10,2,1,12223,10/2/2000
2000,10,3,2,13245,10/3/2000
2000,10,4,3,13154,10/4/2000
2000,10,5,4,13288,10/5/2000
2000,10,6,5,12774,10/6/2000
2000,10,7,6,9131,10/7/2000
2000,10,8,7,8119,10/8/2000
2000,10,9,1,11343,10/9/2000
2000,10,10,2,13124,10/10/2000
2000,10,11,3,12907,10/11/2000
2000,10,12,4,13038,10/12/2000
2000,10,13,5,11723,10/13/2000
2000,10,14,6,9163,10/14/2000
2000,10,15,7,8156,10/15/2000
2000,10,16,1,12001,10/16/2000
2000,10,17,2,13106,10/17/2000
2000,10,18,3,12816,10/18/2000
2000,10,19,4,12502,10/19/2000
2000,10,20,5,12471,10/20/2000
2000,10,21,6,8956,10/21/2000
2000,10,22,7,7938,10/22/2000
2000,10,23,1,11810,10/23/2000
2000,10,24,2,12995,10/24/2000
2000,10,25,3,12780,10/25/2000
2000,10,26,4,12787,10/26/2000
2000,10,27,5,12333,10/27/2000
2000,10,28,6,8978,10/28/2000
2000,10,29,7,8124,10/29/2000
2000,10,30,1,11558,10/30/2000
2000,10,31,2,11372,10/31/2000
2000,11,1,3,12927,11/1/2000
2000,11,2,4,13066,11/2/2000
2000,11,3,5,12630,11/3/2000
2000,11,4,6,9084,11/4/2000
2000,11,5,7,8078,11/5/2000
2000,11,6,1,11862,11/6/2000
2000,11,7,2,12822,11/7/2000
2000,11,8,3,12829,11/8/2000
2000,11,9,4,12778,11/9/2000
2000,11,10,5,12554,11/10/2000
2000,11,11,6,9318,11/11/2000
2000,11,12,7,8070,11/12/2000
2000,11,13,1,11480,11/13/2000
2000,11,14,2,13153,11/14/2000
2000,11,15,3,12953,11/15/2000
2000,11,16,4,13061,11/16/2000
2000,11,17,5,12888,11/17/2000
2000,11,18,6,9137,11/18/2000
2000,11,19,7,8077,11/19/2000
2000,11,20,1,12974,11/20/2000
2000,11,21,2,13991,11/21/2000
2000,11,22,3,12420,11/22/2000
2000,11,23,4,8144,11/23/2000
2000,11,24,5,9805,11/24/2000
2000,11,25,6,8537,11/25/2000
2000,11,26,7,7950,11/26/2000
2000,11,27,1,12175,11/27/2000
2000,11,28,2,13799,11/28/2000
2000,11,29,3,13114,11/29/2000
2000,11,30,4,12818,11/30/2000
2000,12,1,5,12545,12/1/2000
2000,12,2,6,8914,12/2/2000
2000,12,3,7,7930,12/3/2000
2000,12,4,1,11501,12/4/2000
2000,12,5,2,12997,12/5/2000
2000,12,6,3,12697,12/6/2000
2000,12,7,4,12820,12/7/2000
2000,12,8,5,12548,12/8/2000
2000,12,9,6,8853,12/9/2000
2000,12,10,7,8022,12/10/2000
2000,12,11,1,11811,12/11/2000
2000,12,12,2,13627,12/12/2000
2000,12,13,3,12567,12/13/2000
2000,12,14,4,12640,12/14/2000
2000,12,15,5,12656,12/15/2000
2000,12,16,6,9184,12/16/2000
2000,12,17,7,8026,12/17/2000
2000,12,18,1,12590,12/18/2000
2000,12,19,2,13829,12/19/2000
2000,12,20,3,13762,12/20/2000
2000,12,21,4,13524,12/21/2000
2000,12,22,5,12248,12/22/2000
2000,12,23,6,8484,12/23/2000
2000,12,24,7,6971,12/24/2000
2000,12,25,1,6719,12/25/2000
2000,12,26,2,10395,12/26/2000
2000,12,27,3,13252,12/27/2000
2000,12,28,4,13900,12/28/2000
2000,12,29,5,13607,12/29/2000
2000,12,30,6,9405,12/30/2000
2000,12,31,7,7892,12/31/2000
2001,1,1,1,7663,1/1/2001
2001,1,2,2,10635,1/2/2001
2001,1,3,3,12449,1/3/2001
2001,1,4,4,12678,1/4/2001
2001,1,5,5,12647,1/5/2001
2001,1,6,6,9180,1/6/2001
2001,1,7,7,7883,1/7/2001
2001,1,8,1,11447,1/8/2001
2001,1,9,2,12386,1/9/2001
2001,1,10,3,12455,1/10/2001
2001,1,11,4,12433,1/11/2001
2001,1,12,5,12735,1/12/2001
2001,1,13,6,8836,1/13/2001
2001,1,14,7,7818,1/14/2001
2001,1,15,1,10926,1/15/2001
2001,1,16,2,12327,1/16/2001
2001,1,17,3,12344,1/17/2001
2001,1,18,4,12648,1/18/2001
2001,1,19,5,12339,1/19/2001
2001,1,20,6,8771,1/20/2001
2001,1,21,7,7850,1/21/2001
2001,1,22,1,11444,1/22/2001
2001,1,23,2,12446,1/23/2001
2001,1,24,3,12244,1/24/2001
2001,1,25,4,12570,1/25/2001
2001,1,26,5,12191,1/26/2001
2001,1,27,6,8795,1/27/2001
2001,1,28,7,7761,1/28/2001
2001,1,29,1,11513,1/29/2001
2001,1,30,2,12488,1/30/2001
2001,1,31,3,12477,1/31/2001
2001,2,1,4,12477,2/1/2001
2001,2,2,5,12470,2/2/2001
2001,2,3,6,8650,2/3/2001
2001,2,4,7,7716,2/4/2001
2001,2,5,1,11825,2/5/2001
2001,2,6,2,12536,2/6/2001
2001,2,7,3,12343,2/7/2001
2001,2,8,4,12390,2/8/2001
2001,2,9,5,12343,2/9/2001
2001,2,10,6,8791,2/10/2001
2001,2,11,7,7563,2/11/2001
2001,2,12,1,11670,2/12/2001
2001,2,13,2,12267,2/13/2001
2001,2,14,3,13191,2/14/2001
2001,2,15,4,12632,2/15/2001
2001,2,16,5,12355,2/16/2001
2001,2,17,6,8609,2/17/2001
2001,2,18,7,7555,2/18/2001
2001,2,19,1,10522,2/19/2001
2001,2,20,2,12373,2/20/2001
2001,2,21,3,12492,2/21/2001
2001,2,22,4,12482,2/22/2001
2001,2,23,5,12242,2/23/2001
2001,2,24,6,8656,2/24/2001
2001,2,25,7,7794,2/25/2001
2001,2,26,1,11332,2/26/2001
2001,2,27,2,12334,2/27/2001
2001,2,28,3,12209,2/28/2001
2001,3,1,4,12530,3/1/2001
2001,3,2,5,12383,3/2/2001
2001,3,3,6,8935,3/3/2001
2001,3,4,7,7799,3/4/2001
2001,3,5,1,11411,3/5/2001
2001,3,6,2,12339,3/6/2001
2001,3,7,3,12351,3/7/2001
2001,3,8,4,12440,3/8/2001
2001,3,9,5,12461,3/9/2001
2001,3,10,6,8807,3/10/2001
2001,3,11,7,7697,3/11/2001
2001,3,12,1,11595,3/12/2001
2001,3,13,2,12534,3/13/2001
2001,3,14,3,12578,3/14/2001
2001,3,15,4,12525,3/15/2001
2001,3,16,5,12460,3/16/2001
2001,3,17,6,9006,3/17/2001
2001,3,18,7,7526,3/18/2001
2001,3,19,1,11352,3/19/2001
2001,3,20,2,12868,3/20/2001
2001,3,21,3,12690,3/21/2001
2001,3,22,4,12472,3/22/2001
2001,3,23,5,12432,3/23/2001
2001,3,24,6,8830,3/24/2001
2001,3,25,7,7800,3/25/2001
2001,3,26,1,11290,3/26/2001
2001,3,27,2,12570,3/27/2001
2001,3,28,3,12469,3/28/2001
2001,3,29,4,12366,3/29/2001
2001,3,30,5,12059,3/30/2001
2001,3,31,6,8770,3/31/2001
2001,4,1,7,7212,4/1/2001
2001,4,2,1,11673,4/2/2001
2001,4,3,2,12864,4/3/2001
2001,4,4,3,12655,4/4/2001
2001,4,5,4,12438,4/5/2001
